TF,Lib_number,Exp_number,pool_number,Sample_name,why?,bad sample pool?
Msn2DBDOE,72,14,1,1_0_2,,
Msn2DBDOE,72,14,1,1_45_1,,
Msn2DBDOE,72,14,1,1_90_1,,
Msn2DBDOE,72,14,1,1_90_2,,
Msn2DBDOE,72,14,1,1_180_1,,
Msn2NONDBD,86,25,2,2_0_2,,
Msn2NONDBD,86,25,2,2_180_2,,
Msn2NONDBD,72,25,1,2_0_2,,
Msn2NONDBD,72,25,1,1_60_1,,
Msn2NONDBD,88,25,2,2_0_2,,
Msn2NONDBD,69,25,2,2_0_2,,
Msn2NONDBD,56,25,2,1_180_2,,
Msn2NONDBD,32,25,2,2_0_2,,
Msn2NONDBD,46,25,1,2_0_1,,
Msn2NONDBD,46,25,1,1_60_1,,
Msn2OE,72,14,1,1_0_1,,
Msn2OE,72,14,1,1_45_1,,
Msn2OE,72,14,1,1_90_1,,
Msn2OE,72,14,1,1_180_1,,
Msn2OE,30,14,1,1_180_1,,
Msn2OE,88,14,2,2_45_1,,
Msn2OE,88,14,2,2_45_2,,
Msn2OE,88,14,2,2_180_1,,
Msn2OE,66,14,1,1_0_1,,
Msn2OE,66,14,1,1_180_1,,
Msn2OE,66,14,1,1_180_2,,
Msn2OE,40,14,1,1_45_2,,
Msn2OE,40,14,1,1_180_2,,
Msn2OE,86,14,2,1_0_1,,
Msn2OE,86,14,2,2_180_2,,
Msn2OE,46,14,1,1_45_2,,
Msn2OE,46,14,1,1_180_2,,
Msn2OE,56,14,2,2_90_2,,
Msn2OE,56,14,2,2_180_1,,
Msn2OE,78,14,2,2_180_1,,
Msn2OE,78,14,2,2_45_2,,
Msn2OE,69,14,2,2_180_1,,
Nrg2,76,25,top,1_60_1,,
Nrg2,76,25,top,2_60_1,,
Nrg2,43,25,top,2_60_1,,
Nrg2,43,25,top,2_180_1,,
Nrg2,81,25,top,2_180_1,,
Nrg2,57,19,top,1_180_2,,
Nrg2,89,19,top,2_180_2,,
Nrg2,89,19,top,1_45_1,,
Nrg2,89,25,top,2_180_1,,
Nrg2,89,25,top,2_60_1,,
Nrg2,74,25,top,1_60_1,,
Rgm1,82,16,top,1_0_3,,
Rgm1,82,16,top,1_60_1,,
Rgm1,82,16,top,1_60_2,,
Rgm1,89,19,top,1_180_1,,
Rgm1,28,16,top,1_0_3,,
Rgm1,28,16,top,1_180_2,,
Rgm1,89,16,top,1_0_3,,
Rgm1,91,16,top,1_60_2,,
Rgm1,91,16,top,1_180_1,,
Rgm1,91,16,top,1_0_1,,
Rpn4,66,16,top,1_0_2,,
Rpn4,66,16,top,1_180_2,,
Rpn4,67,16,top,1_0_2,,
Rpn4,67,16,top,1_60_2,,
Sfl1,76,16,top,1_0_3,,
Sfl1,41,16,top,1_0_1,,
Sfl1,71,16,top,1_0_1,,
Sfl1,70,16,top,1_60_3,,
Sfl1,68,16,top,1_0_1,,
Sfl1,39,16,top,1_60_3,,
Skn7,35,16,top,1_0_3,,
Skn7,55,16,top,1_60_3,,
Skn7,50,16,top,1_60_3,,
Skn7,53,16,top,1_60_3,,
Sko1,36,16,top,1_0_1,,
Sko1,36,16,top,1_60_2,,
Sko1,36,16,top,1_180_3,,
Sko1,30,16,top,1_0_1,,
Sko1,30,16,top,1_60_2,,
Sko1,54,16,top,1_0_1,,
Sko1,35,16,top,1_0_1,,
Sok2,43,25,top,1_0_2,,
Sok2,71,25,top,1_0_2,,
Sok2,71,25,top,1_180_1,,
Sok2,91,25,top,1_0_2,,
Sok2,54,25,top,1_0_2,,
Sok2,31,25,top,1_0_2,,
Sok2,31,25,top,1_180_1,,
Sok2,89,25,top,1_180_1,,
Sok2,57,25,top,1_0_2,,
Sok2ContextND,57,21,top,2_45_2,,
Sok2ContextND,57,21,top,1_180_2,,
Sok2ContextYKL044W,57,21,top,2_180_2,,
Sok2Contextplasmid,57,21,top,2_0_1,,
Sok2Contextplasmid,57,21,top,1_45_2,,
Ste12,96,13,1,2_0_1,no reads,v
Ste12,96,13,1,1_180_2,,v
Ste12,47,13,1,2_0_1,no reads,v
Ste12,47,13,1,1_180_2,,v
Ste12,38,13,1,2_0_1,no reads,v
Ste12,38,13,1,1_180_2,,v
Ste12,65,13,1,2_0_1,no reads,v
Ste12,65,13,1,1_180_2,,v
Ste12,61,13,1,2_0_1,no reads,v
Ste12,61,13,1,1_180_2,,v
Ste12,64,13,1,2_0_1,no reads,v
Ste12,64,13,1,1_180_2,,v
Ste12,37,13,1,2_0_1,no reads,v
Ste12,37,13,1,1_180_2,,v
Stp1,62,16,top,1_0_2,,
Stp3,66,16,top,1_60_1,,
Stp3,34,16,top,1_0_2,,
Stp3,84,16,top,1_0_3,,
Stp3,84,16,top,1_60_3,,
Stp3,84,16,top,1_180_3,,
Swi4,50,16,top,1_0_2,,v
